,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2025357,1,B0001US6BY,"Ok, I am trying to redeem myself from low budget movies such as "" Vampire Assassin"" then I run into another bad movie. Lets face it, this movie totally blows. And what is with the main character and her cheesy fighting sound effects? What was Eva thinking when she decide to appear in this movie, she wasn't even the main star. More like a background character with maybe 3 sentences to say and thats it.

Please rent this one!",1135987200,2,427,4.405063291139241
2025358,2,B0001US6BY,"Lately I've seen a lot of press about ABCs DESPERATE HOUSEWIVES and its star, Eva Longoria.  I've not seen the show, but I later read about her and SENORITA JUSTICE in a movie mag, so I got curious, and bought this film largely to see what all the fuss was about.

First off, although SENORITA JUSTICE's marketing touts Eva Longoria as one of the stars, she only has about 5 minutes of screen time.  And even then, she's mainly listening to her partner cop.  Longoria has barely any lines.

This is typical of how many films are (bogusly) marketed.  One of the bit players in a film becomes a star, so the film is re-released to capitalize on that stardom.  So if you're a Longoria fan, you may be disappointed in SENORITA JUSTICE.

Actually, the film is disappointing on other levels too.  The production values look like a shot-on-video/direct-to-video grade Z effort.  So too the acting, which is very stilted in many scenes, such as when the star (Edith Gonzalez) learns that her brother is dead, and she ""breaks down"" into tears.  I'm guessing Gonzalez mainly gets cast based on her looks, because her acting isn't very credible.

Longoria's acting is more comfortable (less wooden) but she doesn't get a chance to act much.

The story's about a female Cuban-American lawyer (Gonzalez) who ""escaped the neighborhood"" by getting a law degree and a ""rich white boyfriend.""  This causes resentment when she returns to the 'hood.

She does so because she's also an ex-cop, so when her gangsta brother is killed, she comes back to the 'hood to take revenge.  She engages in a lot of fistacuffs with whole groups of male gangstas, and I just couldn't buy that she'd be that tough.  In the end, a female Yakuzi assassin is sent from Japan to kill her, and they engage in what's supposed to be a supreme battle, but is actually pretty tame.

The images are pretty flatly lit, in that low-budget direct-to-video manner.  However, a few of the shots are nice, and it's mostly well edited (such as when two people are talking, there are shots, we cut to black, see images from the past, then we return and see that one of the people has been shot and has seen his life ""flash before his eyes.""

The writing and motivations are less credible.  One girl in the 'hood hates Gonzalez because she's in love with the same man), but when Gonzalez plans to leave the 'hood, the girl lectures Gonzalez about being a coward and running away.  It's all contradictory to her character, but I guess the writer wanted to get that speech in.

Later, another cop engages in murder (killing a bad guy from behind, instead of yelling ""freeze"") and this is supposed to be both realistic and heroic.  It's not, but it's one of the many unrealistic events that made it hard to suspend disbelief.""

Not a great film, but okay in a low-budget sort of way.",1106092800,28,2826,4.604
2025359,1,B0001US6BY,"Because, your gonna need to go after you see this mess. Okay, we have a bunch of cuban/latina(o) stereotypes thrown together in a gang/streets of miami kinda-movie. So instead of getting Miami vice, we get a cheapo-psuedo-""fast and furious"" pile of junk. (look for the vin diesel look-a-like!) The story revolves around Edith Gonzalez's char. (and while she is eye candy), she can't act her way out of a paper bag.  Her brother gets killed, and she tries to find out why.  The ""cops"" in this movie are just awful.  The interrogation room is a conference table, and some comfy rollable chairs in a wall-less, floor-less space with 1 overhead light. They always let people go after asking them 2 questions.  (What is your name? Did you see anything?)  The production value is a tad better than most movies I give 1 star to, but good editing, doesn't necessarily make a good film.  If you want to watch an hour and a half of latin swearing and showboatmanship this skid mark on the cuban culture is for you.  I do recommend this for MST3K value (goofin' on), the foley artist they hired to do the sound effects went overboard and allowed a 100 pound girl to make a punch that sounds like a rhino going throw a brick wall.  Simply hilarious.",1089590400,12,1237,4.5656108597285066
2025384,4,B0001US6BY,I liked . It had an unforeseen ending,1485993600,,37,3.75
2025385,5,B0001US6BY,nan,1485820800,,3,3.0
2025386,1,B0001US6BY,Horrible acting!,1485734400,,16,7.5
2025387,1,B0001US6BY,"Pretty bad, only watched  the beginning, couldn't watch more",1485734400,,60,5.666666666666667
2025388,1,B0001US6BY,"poor, didn't finish it",1485475200,,22,4.75
2025389,1,B0001US6BY,The acting was just bad!,1485302400,,24,4.0
2025390,1,B0001US6BY,"Silly movie. Makes Mexicans look stupid and they certainly are not. Not all Mexican women dress like hookers. Seriously, I would take this thing off your line up.",1485216000,,162,4.821428571428571
